actRmks,contentsUrl,safety_cate1,safety_cate2,safety_cate3,safety_cate4,safety_cate_nm1,safety_cate_nm2,safety_cate_nm3
"- 비상상황이 예견될 때에는 가족이나 이웃과 함께 즉시 안전한 곳으로 이동할 수 있도록 하고, 가족이 각각 이동할 때를 대비하여 다시 만날 장소를 미리 정합니다.",,01,01003,01003001,,자연재난,호우,호우 사전준비
- 비상시 신속히 응급용품을 가지고 대피할 수 있도록 사전에 배낭 등에 모아둡니다.,,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
"- 비상용품의 유효기간을 지속적으로 확인하여 교체하고, 대피장소, 대피경로 등에 대해서는 지속적으로 관심을 가지고 정비합니다.",,01,01003,01003001,,자연재난,호우,호우 사전준비
"- 산간·계곡, 하천, 방파제 등에서 야영이나 물놀이를 멈추고 안전한 곳으로 대피합니다.",,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
"- 상수도 공급이 중단 될 수 있으므로, 욕조 등에 미리 물을 받아둡니다.",,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
- 수돗물이나 저장되었던 식수는 오염 여부를 확인한 후에 사용합니다.,,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
"- 쓰러진 농작물은 일으켜 세우고, 침수된 논과 밭을 배수할 때에는 작물에 묻은 흙, 오물 등을 깨끗한 물로 씻어내고 병해충 방제를 실시합니다.",,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
"- 약속된 일정은 취소하거나 조정하여 외출을 자제하고, 주변에 정보를 알려 줍니다.",,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
"- 연세 많은 어르신, 어린이, 장애인 등은 외출을 하지 않도록 당부하고 수시로 전화 등을 통해 안부를 확인합니다.",,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
"- 외부에 있는 가족, 지인, 이웃과 연락하여 안전을 확인하고 위험정보 등을 공유합니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
"- 응급약품, 손전등, 식수, 비상식량, 라디오, 핸드폰 충전기, 휴대용 버너, 담요 등 비상용품을 미리 한 곳에 준비해 둡니다.",,01,01003,01003001,,자연재난,호우,호우 사전준비
- 이동식 가옥이나 임시 시설에 거주할 경우에는 견고한 건물로 즉시 이동하고 주변에 있는 사람들에게 위험지역을 알려줍니다.,,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
- 재난정보 수신을 위해 스마트폰에 안전디딤돌 앱이 설치되었는지 확인하고 가까운 행정복지센터(주민센터) 등과 긴급 연락망을 확인합니다.,,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
"- 저지대나 상습 침수지역, 산사태 위험지역, 지하 공간이나 붕괴 우려가 있는 노후주택·건물 등에서는 안전한 곳으로 이동합니다.",,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
"- 정전이 발생한 경우 양초를 사용하지 말고 휴대용 랜턴, 휴대폰 등을 사용합니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
"- 주변에 연세가 많거나 홀로계신 어르신, 어린이, 장애인 등 대피에 어려움이 있는 분들은 안전하게 대피할 수 있도록 돕습니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
"- 주변의 배수로, 빗물받이는 수시로 청소를 실시하고 비탈면, 옹벽, 축대 등이 위험할 경우 정비하거나 시·군·구청에 신고합니다.",,01,01003,01003001,,자연재난,호우,호우 사전준비
"- 지역의 대피 장소와 안전한 이동 방법, 대피요령을 미리 숙지하고, 어린이들에게 알려 주어야 합니다. * 국민재난안전포털(www.safekorea.go.kr), 안전디딤돌 앱 등을 활용",,01,01003,01003001,,자연재난,호우,호우 사전준비
"- 차량은 속도를 줄여 운행하고, 개울가, 하천변, 해안가 등 급류에 휩쓸릴 수 있는 지역이나 침수 위험지역에는 접근하지 말고 주변에 있는 사람들에게 알려 줍니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
"- 차량이 있는 경우에는 연료를 미리 채워 두고, 차량이 없을 경우에는 차량이 있는 가까운 이웃과 같이 이동할 수 있도록 미리 약속해 둡니다.",,01,01003,01003001,,자연재난,호우,호우 사전준비
"- 침수가 예상되는 아파트 지하주차장, 건물 등에서는 기상 특보가 모래 주머니, 물막이 판 등을 이용하여 피해를 예방합니다.",,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
- 침수된 도로나 교량은 파손되었을 수 있으므로 건너지 않습니다.,,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
- 침수된 음식이나 재료는 식중독의 위험이 있으므로 사용하지 않습니다.,,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
"- 침수된 주택은 가스와 전기차단기가 내려가 있는지 확인하고, 한국가스안전공사(1544-4500)와 한국전기안전공사(1588-7500) 또는 전문가의 안전점검 후에 사용합니다.",,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
"- 침수지역, 산간·계곡 등 위험지역에 있거나 대피 권고를 받았을 경우에는 주변에 있는 사람들과 함께 즉시 안전한 지역으로 대피합니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
"- 특히, 침수된 도로, 지하차도, 교량 등은 사람과 차량의 통행을 엄격히 금지하고 주변에 있는 사람들에게 알려 진입하지 않도록 합니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
- 파손된 사유시설을 보수 또는 복구할 때에는 반드시 사진을 찍어 둡니다.,,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
"- 파손된 시설물(주택, 상하수도, 축대, 도로 등)은 있을 경우에는 가까운 시·군·구청이나 행정복지센터(주민센터)에 신고합니다.",,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
- 하천 제방은 무너질 수 있으니 가까이 가지 않습니다.,,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
"- 하천이나 해변, 저지대에 주차된 차량은 안전한 곳으로 이동합니다.",,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
"- 호우로 피해를 입은 주택 등은 가스가 누출될 수 있으므로 창문을 열어 충분히 환기하고, 성냥불이나 라이터는 환기 전까지 사용하지 않습니다.",,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
1. 가족과 지인의 안전 여부를 주위 사람들과 함께 확인합니다.,,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
1. 과거에 발생했던 내 지역의 정보는 미리 확인하고 가족이나 이웃과 함께 공유합니다.,,01,01003,01003001,,자연재난,호우,호우 사전준비
"1. 나와 가족, 지인들의 안전을 위해 외출은 자제하고 정보를 지속적으로 청취하며 정보가 필요한 사람들과 공유합니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
1. 호우예보지역과 시간을 주변에 있는 사람들과 함께 공유합니다.,,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
"2. 건물, 집안 등 실내에서의 안전수칙을 미리 알아두고 가족과 함께 확인합니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
"2. 산간·계곡, 하천, 방파제 등 위험지역에서는 주변에 있는 사람들과 함께 안전한 곳으로 이동합니다.",,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
2. 재난정보를 수신할 수 있도록 가족이나 이웃과 함께 준비합니다.,,01,01003,01003001,,자연재난,호우,호우 사전준비
2. 호우로 인한 피해 여부를 주변에 있는 사람들과 함께 확인합니다.,,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
3. 가족이나 이웃과 함께 대피방법 등에 대한 약속을 미리 정합니다.,,01,01003,01003001,,자연재난,호우,호우 사전준비
"3. 위험지역은 접근하지 말고, 즉시 안전한 지역으로 주변에 있는 사람들과 함께 대피합니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
3. 주변에 있는 사람들과 함께 호우로 인한 2차 피해를 방지합니다.,,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
3. 차량이나 시설물 등의 보호를 위해 가족과 지역주민이 함께 미리 준비합니다.,,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
4. 가족과 함께 비상용품을 준비하여 재난 발생에 대비합니다.,,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
4. 재난이 발생할 경우를 대비하여 가족과 함께 비상용품을 미리 준비합니다.,,01,01003,01003001,,자연재난,호우,호우 사전준비
5. 외출은 자제하고 연세 많은 어르신 등의 안부를 수시로 확인합니다.,,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
5. 재난에 대비한 지속적인 관심과 정비를 함께 합니다.,,01,01003,01003001,,자연재난,호우,호우 사전준비
"TV, 라디오, 인터넷 등에서 호우특보가 예보된 때에는 거주 지역에 영향을 주는 시기를 미리 파악하고, 호우가 발생하기 전에 가족이나 지역주민과 함께 피해를 예방하기 위해 필요한 조치를 합니다.",,01,01003,01003002,,자연재난,호우,호우특보 예보시 행동요령
집중호우 대비 안전수칙(40초 스팟),http://www.safetv.go.kr/web/share/index.do?bidx=280,01,01003,,,자연재난,호우,
"호우가 시작된 때에는 신속히 안전한 곳으로 대피하고, 외출을 삼가며 이웃이나 가족과의 연락을 통해 안전 여부를 확인합니다.",,01,01003,01003003,,자연재난,호우,호우특보 중 행동요령
"호우가 지나간 후에는 이웃 등 주변의 피해 상황을 확인하고, 가까운 행복복지센터 등에 피해를 신고하여 보수·보강을 하도록 합니다.",,01,01003,01003004,,자연재난,호우,호우 이후 행동요령
"호우는 하천 범람, 산사태, 침수 등을 통해 인명피해와 재산피해를 발생시킬 수 있기 때문에 가족이나 이웃과 함께 대비합니다.",,01,01003,01003001,,자연재난,호우,호우 사전준비
"Q&AQ : 저지대 주택에 침수피해를 당했을 때 주택에 들어가기전 전 행동요령은?A : 침수된 주택은 가스누출, 감전 위험이 있으므로 바로 들어가지 마시고 환기를 시킨 후, 가스-전기차단기가 OFF에 있는지 확인 하시고 전문가의 안전점검을 받아 안전한 경우 사용하시기 바랍니다.",,01,01002,01002001,,자연재난,홍수,홍수 예·경보시 대비요령
"TV나 라디오, 인터넷, 스마트폰 등으로 기상변화를 확인합니다.",,01,01002,01002003,,자연재난,홍수,물이 밀려들 때는
"가스·전기차단기가 내려가 있는지(off) 확인하고, 기술자의 안전조사가 끝난 후 사용합시다.",,01,01002,01002004,,자연재난,홍수,물이 빠진 후에는
"가스가 새어 나와 집 안에 차 있을 수 있으므로 성냥불이나 라이터불을 사용하지 말고, 창문을 열어 환기를 합시다.",,01,01002,01002004,,자연재난,홍수,물이 빠진 후에는
갑작스런 홍수가 발생하면 높은 곳으로 빨리 대피합시다.,,01,01002,01002003,,자연재난,홍수,물이 밀려들 때는
"대피했다가 집에 돌아왔을 때는 바로 들어가지 말고, 붕괴가능성을 반드시 점검합시다.",,01,01002,01002004,,자연재난,홍수,물이 빠진 후에는
"만일 둑의 물이 넘치고 하수도로 물이 나온다면 다음과 같이 해야 합니다.  - 시간적 여유가 있다면, 마당에 있는 여러 가지 물건들을 집안으로 옮기고 집주변을 정비합시다.  - 전기차단기를 내리고 가스 밸브를 잠급시다.  - 상수도의 오염에 대비하여 욕조에 물을 받아 둡시다.",,01,01002,01002003,,자연재난,홍수,물이 밀려들 때는
물이 빠져나가고 있을 때 물에서 멀리 떨어지세요. 기름이나 더러운 물로 오염되었을 경우가 많습니다.,,01,01002,01002004,,자연재난,홍수,물이 빠진 후에는
"바위나 자갈 등이 흘러내리기 쉬운 비탈면 지역의 도로 통행을 삼가고, 만약 도로를 지날 때는 주위를 잘 살핀 후 이동합시다.",,01,01002,01002002,,자연재난,홍수,홍수 우려 때는
비탈면이나 산사태가 일어날 수 있는 지역에 가까이 가지 맙시다.,,01,01002,01002002,,자연재난,홍수,홍수 우려 때는
수돗물이나 저장식수도 오염 여부를 반드시 조사한 후에 사용합시다.,,01,01002,01002004,,자연재난,홍수,물이 빠진 후에는
어린이나 노약자는 집 밖으로 나가지 맙시다.,,01,01002,01002002,,자연재난,홍수,홍수 우려 때는
"연못, 구덩이 등에 관한 안전표지판을 잘 살펴보아야 합니다.",,01,01002,01002002,,자연재난,홍수,홍수 우려 때는
우물은 오염될 수 있으니 마실 물은 미리 준비해 둡시다.,,01,01002,01002002,,자연재난,홍수,홍수 우려 때는
잘 알지 못하는 지역이나 무릎 위로 물이 흐르는 지역에서는 걸어 다니지 말고 자동차를 운전하지 맙시다.,,01,01002,01002002,,자연재난,홍수,홍수 우려 때는
재난발생지역에는 가까이 가지 맙시다.,,01,01002,01002004,,자연재난,홍수,물이 빠진 후에는
"지정된 대피소에 도착하면 반드시 도착사실을 알리고, 통제를 따라야 안전합니다.",,01,01002,01002003,,자연재난,홍수,물이 밀려들 때는
침수된 음식이나 재료는 식중독의 위험이 있으니 먹거나 요리재료로 사용하지 맙시다.,,01,01002,01002004,,자연재난,홍수,물이 빠진 후에는
침수된 지역에서 자동차를 운전하지 맙시다.,,01,01002,01002003,,자연재난,홍수,물이 밀려들 때는
"침수주택은 가스·전기차단기가 내려가 있는지(off) 확인하고, 기술자의 안전조사가 끝난 후 사용합시다.",,01,01002,01002001,,자연재난,홍수,홍수 예·경보시 대비요령
피해가 예상되는 지역 주민은 대피 준비를 하고 물이 집안으로 흘러가는 것을 막기 위한 모래주머니나 튜브 등을 준비해둡시다.,,01,01002,01002002,,자연재난,홍수,홍수 우려 때는
하수도로 물이 나오면 전기차단기를 내리고 가스 밸브를 잠급시다.,,01,01002,01002001,,자연재난,홍수,홍수 예·경보시 대비요령
하천의 물이 갑자기 많아지는지를 주의 깊게 관찰합시다.,,01,01002,01002003,,자연재난,홍수,물이 밀려들 때는
홍수 우려 때 피난 가능한 장소와 길을 미리 알아둡시다.,,01,01002,01002002,,자연재난,홍수,홍수 우려 때는
홍수 특보기준- 국토교통부 홍수통제소에서 수계별 주요지점 홍수 예-경보 기준수위에 따라 발령함,,01,01002,01002001,,자연재난,홍수,홍수 예·경보시 대비요령
홍수가 지나간 지역은 도로가 약해져서 무너질 수 있습니다.,,01,01002,01002004,,자연재난,홍수,물이 빠진 후에는
홍수로 밀려온 물에 몸이 젖었을 때 비누를 이용하여 깨끗이 씻읍시다.,,01,01002,01002004,,자연재난,홍수,물이 빠진 후에는
홍수에 의하여 밀려온 물에 가까이 가지 않도록 주의합시다.,,01,01002,01002003,,자연재난,홍수,물이 밀려들 때는
"홍수피해가 예상되는 지역의 주민은 라디오나 TV, 인터넷, 스마트폰 등을 통해 기상변화를 알아 둡시다.",,01,01002,01002002,,자연재난,홍수,홍수 우려 때는
흐르는 물에 들어가지 맙시다.,,01,01002,01002003,,자연재난,홍수,물이 밀려들 때는
흐르는 물에서는 약 15cm 깊이의 물에도 휩쓸려 갈 수 있습니다.,,01,01002,01002004,,자연재난,홍수,물이 빠진 후에는
,http://mepv2.safekorea.go.kr/mdbs_html/images/mobileWeb/bTyphoon/bTyphoon_icon_07.png,01,01002,01002002,,자연재난,홍수,홍수 우려 때는
,http://mepv2.safekorea.go.kr/mdbs_html/images/mobileWeb/bTyphoon/bTyphoon_icon_08.png,01,01002,01002003,,자연재난,홍수,물이 밀려들 때는
,http://mepv2.safekorea.go.kr/mdbs_html/images/mobileWeb/bTyphoon/bTyphoon_icon_15.png,01,01002,01002001,,자연재난,홍수,홍수 예·경보시 대비요령
